date,google_y,google_Pfizer,google_Geruchsverlust,google_Geschmacksverlust
2020-02-02,10.0,2.0,0.0,8.0
2020-02-09,4.0,3.0,0.0,0.0
2020-02-16,2.0,2.0,0.0,5.0
2020-02-23,0.0,2.0,0.0,3.0
2020-03-01,114.0,4.0,4.0,0.0
2020-03-08,910.0,4.0,4.0,8.0
2020-03-15,4755.0,4.0,19.0,57.0
2020-03-22,19078.0,4.0,15.0,49.0
2020-03-29,37222.0,3.0,18.0,44.0
2020-04-05,38028.0,3.0,12.0,29.0
2020-04-12,27731.0,3.0,19.0,34.0
2020-04-19,17330.0,8.0,7.0,25.0
2020-04-26,12586.0,7.0,18.0,10.0
2020-05-03,7894.0,6.0,19.0,18.0
2020-05-10,6215.0,5.0,4.0,27.0
2020-05-17,4490.0,4.0,16.0,16.0
2020-05-24,3959.0,4.0,11.0,23.0
2020-05-31,3082.0,5.0,7.0,7.0
2020-06-07,2340.0,4.0,7.0,7.0
2020-06-14,1768.0,4.0,11.0,0.0
2020-06-21,3754.0,4.0,8.0,8.0
2020-06-28,3421.0,7.0,4.0,10.0
2020-07-05,2830.0,6.0,4.0,19.0
2020-07-12,2396.0,6.0,0.0,14.0
2020-07-19,2816.0,12.0,8.0,14.0
2020-07-26,3932.0,13.0,0.0,17.0
2020-08-02,4553.0,6.0,8.0,11.0
2020-08-09,6068.0,5.0,8.0,8.0
2020-08-16,7719.0,6.0,21.0,31.0
2020-08-23,9487.0,7.0,33.0,22.0
2020-08-30,8811.0,6.0,12.0,22.0
2020-09-06,8423.0,7.0,4.0,39.0
2020-09-13,10009.0,7.0,25.0,23.0
2020-09-20,12228.0,6.0,8.0,25.0
2020-09-27,12374.0,5.0,4.0,31.0
2020-10-04,15234.0,7.0,17.0,17.0
2020-10-11,24736.0,8.0,30.0,49.0
2020-10-18,42362.0,11.0,46.0,54.0
2020-10-25,69027.0,11.0,49.0,75.0
2020-11-01,106648.0,9.0,41.0,68.0
2020-11-08,138278.0,100.0,62.0,72.0
2020-11-15,120322.0,45.0,37.0,98.0
2020-11-22,129421.0,33.0,45.0,82.0
2020-11-29,123324.0,52.0,65.0,71.0
2020-12-06,138859.0,47.0,60.0,67.0
2020-12-13,156260.0,40.0,100.0,86.0
2020-12-20,164152.0,39.0,65.0,100.0
2020-12-27,143677.0,30.0,62.0,77.0
2020-12-31,101881.0,29.0,60.0,62.0
2021-01-10,145514.0,32.0,70.0,62.0
2021-01-17,120719.0,32.0,23.0,38.0
2021-01-24,97640.0,22.0,27.0,39.0
2021-01-31,77890.0,23.0,23.0,41.0
2021-02-07,66014.0,24.0,16.0,32.0
2021-02-14,50071.0,24.0,4.0,24.0
2021-02-21,52771.0,25.0,28.0,48.0
2021-02-28,55780.0,25.0,31.0,29.0
2021-03-07,58360.0,27.0,12.0,21.0
2021-03-14,70187.0,33.0,11.0,44.0
2021-03-21,91159.0,26.0,28.0,34.0
2021-03-28,114651.0,29.0,39.0,58.0
2021-04-04,111677.0,32.0,28.0,49.0
2021-04-11,115829.0,40.0,35.0,39.0
2021-04-18,143364.0,37.0,20.0,53.0
2021-04-25,151170.0,41.0,31.0,29.0
2021-05-02,125984.0,49.0,41.0,25.0
2021-05-09,98211.0,43.0,28.0,35.0
2021-05-16,,,,
2021-05-19,,,,
2021-01-03,,,,
