,yandex_y,yandex_Pfizer,yandex_Corona
2020-02-02,10.0,0,0
2020-02-09,4.0,0,0
2020-02-16,2.0,0,0
2020-02-23,0.0,0,0
2020-03-01,114.0,0,0
2020-03-08,910.0,0,0
2020-03-15,4755.0,0,0
2020-03-22,19078.0,0,0
2020-03-29,37222.0,0,0
2020-04-05,38028.0,0,0
2020-04-12,27731.0,0,0
2020-04-19,17330.0,0,0
2020-04-26,12586.0,0,0
2020-05-03,7894.0,0,0
2020-05-10,6215.0,0,0
2020-05-17,4490.0,12,655
2020-05-24,3959.0,6,502
2020-05-31,3082.0,7,517
2020-06-07,2340.0,4,455
2020-06-14,1768.0,2,416
2020-06-21,3754.0,4,511
2020-06-28,3421.0,8,396
2020-07-05,2830.0,11,312
2020-07-12,2396.0,5,315
2020-07-19,2816.0,6,349
2020-07-26,3932.0,7,381
2020-08-02,4553.0,5,421
2020-08-09,6068.0,4,469
2020-08-16,7719.0,6,404
2020-08-23,9487.0,3,470
2020-08-30,8811.0,10,429
2020-09-06,8423.0,1,399
2020-09-13,10009.0,12,404
2020-09-20,12228.0,9,420
2020-09-27,12374.0,6,459
2020-10-04,15234.0,16,410
2020-10-11,24736.0,4,569
2020-10-18,42362.0,11,640
2020-10-05,,13,638
2020-11-01,106648.0,4,847
2020-11-08,138278.0,7,668
2020-11-15,120322.0,219,649
2020-11-22,129421.0,84,685
2020-11-29,123324.0,66,559
2020-12-06,138859.0,142,605
2020-12-13,156260.0,194,773
2020-12-20,164152.0,216,797
2020-12-27,143677.0,202,678
2021-01-03,,228,623
2021-01-10,145514.0,340,806
2021-01-17,120719.0,456,914
2021-01-24,97640.0,347,734
2021-01-31,77890.0,148,618
2021-02-07,66014.0,110,613
2021-02-14,50071.0,93,732
2021-02-21,52771.0,114,707
2021-02-28,55780.0,102,692
2021-03-07,58360.0,142,766
2021-03-14,70187.0,120,670
2021-03-21,91159.0,122,774
2021-03-28,114651.0,158,1009
2021-04-04,111677.0,134,833
2021-04-11,115829.0,183,935
2021-04-18,143364.0,233,1029
2021-04-25,151170.0,226,964
2021-05-02,125984.0,271,995
2021-05-09,98211.0,266,964
