date,google_y,google_Pfizer,google_сатурация,google_Дексаметазон,google_Кислород в крови,google_Коронавир,google_Уровень кислорода в крови
2020-01-26,0,4,3,23,0,0,0
2020-02-02,2,5,2,23,17,6,0
2020-02-09,0,2,4,23,13,2,5
2020-02-16,0,5,2,19,0,0,0
2020-02-23,0,4,1,19,9,2,0
2020-03-01,0,4,5,22,9,0,0
2020-03-08,15,2,3,19,0,6,9
2020-03-15,46,3,4,23,12,6,0
2020-03-22,304,3,10,21,17,12,13
2020-03-29,1167,5,10,23,25,15,27
2020-04-05,3855,3,9,14,11,14,16
2020-04-12,10381,3,11,17,11,5,4
2020-04-19,27083,6,17,17,11,11,24
2020-04-26,38096,2,40,17,37,8,13
2020-05-03,53738,7,31,17,26,4,23
2020-05-10,75001,2,32,15,25,2,22
2020-05-17,72064,4,18,21,25,6,31
2020-05-24,62729,9,23,25,22,8,5
2020-05-31,61362,7,20,23,18,2,43
2020-06-07,61230,4,19,18,19,0,25
2020-06-14,61194,6,24,65,14,2,5
2020-06-21,55612,4,14,35,14,4,31
2020-06-28,49684,12,20,23,15,7,21
2020-07-05,46720,4,19,30,15,11,21
2020-07-12,45753,4,17,22,10,7,11
2020-07-19,44275,13,13,29,25,5,16
2020-07-26,40762,4,14,24,10,5,11
2020-08-02,38204,4,15,22,15,12,11
2020-08-09,36441,13,14,29,10,5,16
2020-08-16,35001,11,8,22,5,5,6
2020-08-23,33609,15,12,23,15,5,16
2020-08-30,33142,10,22,25,5,2,5
2020-09-06,34758,6,10,23,0,7,0
2020-09-13,36796,2,19,23,14,13,20
2020-09-20,39934,6,16,28,24,26,26
2020-09-27,47315,4,30,31,48,35,41
2020-10-04,62766,6,51,38,58,53,67
2020-10-11,82648,2,69,79,35,76,69
2020-10-18,99137,6,84,87,79,84,89
2020-10-25,112828,6,92,82,89,100,100
2020-11-01,120996,6,100,90,100,80,64
2020-11-08,135772,90,86,90,72,64,87
2020-11-15,149729,38,83,83,67,40,87
2020-11-22,161709,58,62,73,52,63,46
2020-11-29,178032,48,77,81,86,62,87
2020-12-06,189273,92,63,100,48,81,46
2020-12-13,190536,69,67,80,82,51,52
2020-12-20,191426,76,60,84,44,47,36
2020-12-27,198847,61,63,62,72,33,77
2021-01-03,183771,88,74,64,61,41,53
2021-01-10,162972,100,60,64,44,42,62
2021-01-17,163664,64,41,47,43,44,31
2021-01-24,148868,46,35,42,48,38,26
2021-01-31,129101,47,31,37,29,36,42
2021-02-07,115113,20,31,30,10,9,31
2021-02-14,103045,32,24,38,19,24,10
2021-02-21,91486,27,24,37,25,30,21
2021-02-28,80408,37,16,24,20,20,21
2021-03-07,75863,44,16,26,15,16,27
2021-03-14,67118,27,14,29,5,26,10
2021-03-21,65650,36,19,28,25,18,21
2021-03-28,62296,21,26,28,40,16,16
2021-04-04,60249,21,18,29,25,18,0
2021-04-11,59633,25,25,29,5,11,16
2021-04-18,59835,10,19,28,24,22,5
2021-04-25,24655,20,11,22,15,11,16
